NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25,G2-MAT26
20274238,C,A,B,C,D,B,B,D,B,A,B,A,A,D,C,D,C,B,A,A,B,C,A,D,A,C
20005909,B,B,A,B,B,B,C,B,B,C,C,A,A,A,B,D,C,B,A,D,A,D,B,A,D,C
4032867,B,A,C,C,B,A,B,A,B,A,C,B,B,C,B,A,B,B,B,C,B,A,C,A,D,C
19764382,D,D,C,B,A,B,C,D,D,C,B,C,B,B,B,D,D,B,A,A,B,B,B,D,D,C
2726679,B,A,C,C,A,D,B,D,D,C,D,A,B,C,C,A,A,B,A,B,C,B,A,A,D,C
19762429,C,A,D,C,A,C,B,D,D,A,D,A,C,C,C,A,A,B,C,A,B,B,A,A,D,C
19800547,B,A,D,D,D,A,D,B,D,D,C,D,A,C,C,A,A,C,A,C,D,A,A,C,A,D
20135382,A,C,C,B,C,A,C,C,D,B,C,B,B,B,B,D,A,B,B,B,D,C,B,B,A,D
6471992,C,A,B,C,D,D,D,D,A,D,B,A,A,B,A,C,A,B,A,A,C,A,B,C,A,A
6875544,C,A,A,A,B,D,D,D,A,A,B,C,A,A,C,B,A,B,D,A,A,A,A,C,A,A
19734513,B,A,A,C,B,B,B,A,B,A,B,A,D,C,B,A,A,B,A,D,A,A,B,B,D,A
4700693,B,A,D,C,C,C,B,B,A,C,B,D,A,C,A,C,A,B,A,A,C,D,C,C,D,B
6866989,A,A,A,D,A,A,D,D,C,C,A,B,A,C,A,B,C,C,B,D,B,C,A,D,D,B
3635550,C,B,C,C,B,C,C,D,D,C,C,D,B,D,A,A,A,B,B,C,B,A,A,A,A,C
19938631,D,A,C,C,B,B,C,D,B,B,A,C,A,A,D,B,D,A,A,D,D,C,A,B,A,C
19816030,B,B,C,B,B,D,C,D,B,C,B,C,B,C,C,C,C,B,B,A,B,B,A,C,B,C
19813714,C,A,C,D,C,D,D,D,B,C,B,B,A,C,D,A,A,B,D,B,C,B,A,A,A,D
5070054,D,B,B,A,C,D,C,B,A,B,A,B,B,B,D,D,B,C,B,B,B,C,C,A,A,D
4996196,C,D,D,C,D,B,D,D,C,C,C,D,D,A,D,B,D,B,B,A,C,B,D,C,D,D
20148146,C,A,A,C,B,B,B,D,B,C,B,B,D,C,B,D,A,A,C,C,C,B,A,A,D,D
19834311,B,D,B,B,A,A,C,A,B,D,D,D,D,C,D,B,C,B,A,A,A,B,B,A,A,A
20269569,C,A,C,A,C,C,A,B,D,A,B,A,A,B,A,A,C,B,A,A,C,A,D,A,A,A
7362631,B,A,B,A,A,A,A,A,C,B,A,B,A,A,A,D,A,C,A,A,A,D,C,A,A,B
19721465,C,C,B,C,C,C,C,B,C,D,B,B,C,A,B,A,B,A,B,C,C,C,C,C,A,B
19923735,C,C,C,B,C,A,D,D,D,D,B,A,B,B,A,D,A,C,D,A,C,B,C,C,C,B
19747056,B,C,B,D,A,A,C,A,B,C,C,C,A,B,C,D,A,A,B,B,A,A,B,C,C,B
5545798,C,C,A,D,A,C,A,D,D,C,B,B,C,C,C,B,A,B,B,A,A,A,D,C,D,B
6879019,D,A,D,C,B,B,C,A,B,B,B,A,A,A,B,C,C,B,A,A,B,C,C,C,D,B
19701439,B,A,A,C,A,B,D,B,B,C,B,A,A,D,A,C,D,C,D,A,C,C,A,A,D,B
19931056,D,A,A,B,B,B,D,C,C,C,D,B,C,B,B,C,C,C,A,C,D,C,C,B,D,B
19861201,B,A,A,A,A,A,C,B,C,A,D,B,B,C,B,C,A,B,B,A,C,B,C,B,B,C
19782833,C,C,D,D,B,B,A,C,A,A,A,B,A,D,C,A,B,D,B,B,C,B,A,B,B,C
19938265,B,B,C,A,A,D,D,B,B,B,C,A,D,D,B,C,D,B,A,C,B,B,C,C,C,C
7122087,C,A,D,D,A,D,D,D,B,D,D,B,A,D,A,A,A,B,B,B,C,D,A,A,C,C
20087635,B,A,B,C,C,B,D,B,C,B,D,B,A,A,C,C,A,B,B,D,B,B,D,A,C,C
4659404,A,A,B,C,B,C,D,A,A,A,A,A,B,C,C,D,A,A,C,A,B,D,C,A,D,C
10289962,C,A,A,C,A,C,D,D,D,C,C,D,A,B,A,A,C,A,A,A,D,D,C,C,D,C
3383192,D,B,C,D,D,A,D,B,D,A,C,A,A,D,D,A,D,A,D,A,D,C,D,D,A,D
2687276,B,C,B,B,D,B,D,B,B,A,A,A,B,D,B,C,B,B,D,B,A,B,B,B,D,D
6762625,A,A,A,B,C,B,A,D,A,A,D,A,C,B,B,B,A,B,B,B,B,B,A,C,A,A
20113290,B,B,B,B,B,B,A,A,B,A,B,A,A,B,C,B,B,A,B,B,D,B,B,B,B,A
3165298,B,B,B,B,B,B,A,C,B,D,B,A,A,C,B,B,B,B,B,D,C,C,B,C,C,A
4836336,C,A,B,C,D,C,A,C,B,C,A,C,D,A,A,C,C,B,D,A,A,C,A,A,C,A
6339122,B,C,C,A,B,D,C,D,C,C,C,C,B,C,D,B,C,B,C,B,C,B,C,C,C,A
10234884,B,A,A,C,B,B,B,A,B,A,C,A,B,C,C,C,D,B,B,C,A,D,D,D,D,A
19827057,D,A,A,B,B,C,B,B,A,B,C,A,D,D,D,A,A,A,A,A,B,C,A,B,D,A
4520048,A,D,B,C,A,D,C,D,A,A,A,A,C,A,C,A,D,A,C,B,A,A,C,D,D,A
20166071,A,A,A,A,A,A,A,A,B,B,A,A,A,B,D,D,A,A,B,A,C,A,A,D,D,A
3245600,B,B,B,C,B,A,D,C,B,D,B,C,A,A,B,B,C,B,A,D,B,A,C,C,D,A
19790302,B,A,A,B,A,D,A,A,B,B,D,A,B,C,B,B,C,B,A,B,B,C,C,C,D,A
2726615,C,B,A,A,A,B,B,A,C,B,B,C,B,B,A,A,A,B,C,B,A,A,C,A,A,B
3634851,A,A,A,A,A,C,C,A,A,A,B,A,B,A,A,C,A,B,A,A,B,B,A,A,A,B
4699668,C,A,D,A,A,D,C,B,C,A,B,B,A,D,B,A,C,B,A,A,C,B,D,D,B,B
6109303,B,D,C,B,D,C,A,B,C,D,B,A,C,B,A,B,B,A,C,A,B,C,A,D,C,B
19949446,A,A,A,B,B,A,A,B,C,D,C,B,B,B,C,C,A,C,B,B,D,A,A,A,C,B
6049135,B,A,C,B,C,D,B,B,D,C,B,B,B,C,B,A,D,B,A,B,B,B,C,C,D,B
4952191,A,C,B,B,B,C,C,A,C,D,A,C,A,D,A,B,C,A,B,C,D,A,C,B,A,C
20000502,B,A,C,B,A,B,D,A,B,A,A,A,B,B,B,D,D,A,A,A,B,B,B,C,A,C
6877129,B,A,A,C,A,A,D,A,D,A,C,A,B,A,A,A,A,A,D,B,A,A,B,C,A,C
4438460,B,B,C,C,B,D,A,C,B,B,C,C,C,B,A,C,D,A,A,C,B,C,D,C,A,C
7118566,B,B,D,D,B,B,B,A,B,A,B,A,C,A,A,B,D,B,B,C,D,A,A,C,B,C
19785312,B,C,B,D,C,A,D,B,B,B,B,A,B,C,D,B,A,A,B,B,B,D,C,D,D,C
19741932,C,A,A,B,B,A,D,D,B,C,D,B,C,B,A,C,A,B,D,D,C,A,A,A,D,C
19734863,A,A,D,A,B,D,A,A,B,A,C,B,A,A,C,D,B,B,B,D,C,C,B,B,D,C
3386086,B,A,B,D,C,A,A,A,D,D,C,C,B,D,A,A,C,C,B,A,B,A,B,C,D,C
5826501,C,C,D,C,D,D,C,D,B,A,D,B,D,A,D,A,C,D,D,B,A,B,C,A,A,D
5579431,D,A,B,C,D,B,C,A,A,C,C,A,B,D,A,C,B,C,A,A,B,D,C,C,A,D
3565827,D,D,C,B,D,D,A,A,C,C,A,D,B,C,A,D,C,D,D,A,B,D,D,C,A,D
19707012,C,B,C,C,D,D,B,D,B,A,D,B,B,C,A,A,A,B,D,A,B,B,A,A,D,D
19850052,B,A,C,D,B,B,B,A,B,D,A,B,B,C,A,A,B,B,A,A,B,B,B,A,A,A
19993967,B,C,C,A,C,B,B,D,A,A,A,A,C,A,B,C,A,A,C,B,B,D,B,A,A,A
5099963,B,D,B,D,C,B,B,C,C,A,B,B,C,C,D,A,D,C,B,A,A,A,A,D,B,A
3715630,B,B,C,B,D,B,D,B,C,D,C,D,A,B,C,C,C,C,C,B,A,B,D,B,B,A
5875024,A,A,B,A,A,B,C,A,B,B,B,A,C,A,B,B,B,B,A,A,B,B,A,D,C,A
20136104,C,A,A,D,D,B,D,A,B,B,A,D,A,A,B,C,C,A,A,D,D,B,D,A,C,A
2694222,D,A,C,A,D,D,B,D,C,B,C,B,B,C,B,D,C,B,A,D,A,D,A,C,D,A
19804622,B,C,A,B,C,B,C,B,A,B,D,C,B,C,B,D,A,B,D,A,B,D,A,B,A,B
7179469,A,A,A,C,C,C,D,D,D,A,B,A,C,D,D,A,D,A,D,C,C,C,A,B,A,B
2481780,B,A,B,A,B,A,A,B,A,A,B,A,B,A,A,D,D,A,B,B,B,A,A,A,A,B
19799390,B,C,B,C,B,B,C,D,D,B,B,B,C,A,A,A,C,C,B,B,A,B,B,C,B,B
20010448,B,A,A,B,C,B,A,D,A,D,C,A,C,D,B,C,B,C,B,B,A,C,B,B,B,B
6108404,B,B,C,A,D,C,C,B,B,D,B,A,B,D,C,C,A,A,B,B,B,B,D,B,B,B
20002644,B,A,B,C,A,B,D,B,C,C,B,C,B,A,C,B,C,B,B,C,A,B,B,A,C,B
3485627,B,B,D,B,C,A,C,D,D,A,A,C,C,C,A,C,C,A,B,A,B,A,C,A,C,B
10263617,A,A,B,A,A,A,D,B,D,C,C,A,A,C,A,A,B,B,A,A,A,C,C,B,C,B
5243073,D,A,A,D,A,B,D,A,D,B,D,A,A,A,A,D,C,C,B,A,A,D,C,D,C,B
4932020,C,C,B,C,B,D,C,C,C,D,C,D,B,B,D,B,C,A,C,A,C,C,C,C,D,B
6799433,B,A,C,C,B,C,D,D,B,C,B,B,B,A,A,A,D,B,D,B,A,B,A,A,D,B
19887837,B,A,B,C,B,B,D,B,B,B,B,A,C,D,C,D,B,A,B,B,C,B,B,A,A,C
19701421,B,B,B,B,B,A,D,B,B,A,B,A,B,B,A,D,C,B,A,D,A,D,B,D,A,C
19944971,D,B,C,B,A,D,B,B,B,C,D,B,B,D,A,A,A,B,B,B,B,B,C,A,A,C
19796390,A,C,A,B,A,B,D,B,A,C,C,A,B,B,A,A,A,B,C,A,A,A,B,D,A,C
19731346,B,C,B,A,B,B,B,C,B,B,B,A,B,B,A,B,B,B,D,B,B,B,C,B,B,C
19772805,C,A,D,C,B,D,A,D,A,C,D,B,B,A,A,A,A,B,A,D,B,B,A,A,C,C
3380533,C,D,C,C,A,D,B,D,B,C,C,B,D,B,B,C,C,C,B,A,B,A,D,B,C,C
19883235,C,A,C,C,A,C,B,D,D,C,D,A,B,D,A,A,A,B,B,D,C,B,A,A,D,C
19927132,D,C,C,C,B,C,A,B,C,B,D,C,B,C,A,D,C,C,A,A,B,B,C,C,D,C
19781299,B,B,C,C,A,A,B,D,D,C,D,B,B,D,A,C,A,B,A,A,C,B,A,B,D,C
5062522,C,D,A,D,C,B,C,B,D,C,A,C,C,A,A,A,C,A,C,C,A,A,C,D,D,C
19720385,C,A,A,C,B,D,D,D,D,C,D,A,D,C,A,A,A,B,D,A,B,B,A,B,D,C
3854846,C,A,C,D,B,C,D,D,C,C,A,C,B,B,C,B,C,B,D,B,B,A,B,C,D,C
19759153,B,A,A,C,C,B,C,C,C,B,C,D,B,C,D,D,C,C,A,A,A,D,B,C,D,C
3379197,C,A,C,D,A,D,D,D,D,C,D,B,B,B,A,D,A,B,B,D,B,B,D,A,D,C
5336013,D,C,C,B,D,B,B,C,B,A,C,C,C,D,D,D,C,B,B,C,C,D,C,C,D,C
7359903,D,B,B,B,B,B,B,B,C,C,C,A,B,A,C,D,D,A,B,A,B,D,C,B,A,D
19779695,B,D,A,A,B,B,A,B,A,C,B,C,B,A,B,B,A,B,A,A,B,B,A,A,B,D
6473010,C,A,B,C,A,B,D,A,C,C,D,B,B,D,B,C,A,B,B,C,C,B,A,B,D,D
4657769,C,A,C,C,A,C,D,D,D,C,D,B,B,C,C,D,A,A,D,B,A,A,A,A,D,D
19936113,A,B,A,B,A,C,B,B,B,C,C,C,B,C,C,A,C,A,D,A,B,C,C,D,A,A
19909628,A,A,B,B,B,C,C,A,B,A,C,A,A,A,A,B,C,B,A,A,C,B,C,B,A,A
19883637,C,A,A,A,A,B,D,A,D,C,A,C,A,B,A,A,A,C,A,A,B,C,C,A,A,A
19700956,C,A,C,C,A,D,D,D,B,C,D,B,B,D,A,B,A,B,B,B,C,B,A,A,A,A
4657490,C,A,C,C,B,B,C,D,D,C,C,A,B,B,B,D,A,B,D,A,A,B,C,B,C,A
4657037,C,A,C,C,A,D,A,C,D,C,D,B,C,D,B,A,A,C,B,D,C,B,A,A,D,A
6337677,A,B,B,C,B,B,C,B,C,A,B,C,C,C,A,C,B,B,A,B,B,B,D,B,D,A
19721790,D,A,B,C,B,B,B,A,B,C,A,C,B,B,D,C,A,C,A,D,A,D,A,B,D,A
19945310,A,B,B,C,B,C,A,B,D,C,D,C,B,B,C,C,B,B,A,D,B,A,D,A,D,A
6109074,B,A,D,C,B,D,C,B,C,B,C,C,B,B,A,A,C,B,C,A,C,C,D,A,D,A
3875672,B,C,B,B,B,A,B,B,A,D,B,A,A,B,D,D,C,B,A,B,C,A,A,B,D,A
19902927,C,B,C,D,D,B,B,C,C,B,C,C,A,C,D,C,D,B,D,B,C,D,C,C,A,B
4976819,C,A,A,C,D,B,B,B,C,C,D,B,B,A,A,B,A,B,C,A,C,B,A,C,A,B
20118408,A,B,C,C,C,C,D,B,C,D,B,C,B,C,C,B,D,C,D,D,B,D,C,C,A,B
4660090,B,A,A,C,B,C,C,B,C,C,A,D,A,B,B,C,C,B,D,A,D,B,B,D,A,B
19918508,B,B,C,C,D,D,C,A,D,C,B,B,A,C,A,A,D,B,A,A,B,B,C,A,A,B
6496702,D,C,D,D,A,D,C,B,C,D,B,A,C,C,C,C,C,B,D,A,C,B,C,C,B,B
19816701,C,A,C,D,C,C,C,A,C,B,B,D,B,C,B,B,B,B,D,D,C,B,B,C,B,B
19746158,C,D,A,C,C,C,D,D,D,C,D,A,B,D,A,A,A,B,A,A,C,B,A,A,B,B
19785087,A,B,D,C,A,B,B,C,A,A,D,B,A,B,B,B,C,A,D,D,A,A,D,D,C,B
6107097,C,C,C,C,C,A,C,C,C,A,C,D,C,C,B,C,C,B,B,C,D,C,B,B,C,B
6656629,C,B,B,C,B,B,B,D,B,C,B,A,B,D,A,D,B,C,A,D,B,C,C,D,C,B
2850852,C,A,C,B,B,D,D,D,B,D,A,A,B,C,A,A,A,B,D,D,C,A,A,A,D,B
4656962,C,A,A,B,C,A,D,D,D,C,D,B,B,D,A,C,B,B,B,B,C,C,A,A,D,B
4836505,C,B,D,C,A,B,B,C,D,C,D,B,B,C,A,A,B,B,B,B,A,C,A,A,D,B
20165516,B,C,C,B,C,C,C,C,B,C,B,C,D,C,B,B,C,C,C,C,A,C,D,D,D,B
3557391,B,D,B,D,A,D,D,A,A,D,B,C,C,A,A,D,B,A,D,D,A,C,D,A,D,B
19789572,A,A,C,A,B,B,B,B,D,A,B,A,B,B,A,D,A,B,C,D,B,D,B,A,A,C
19982412,B,A,A,A,B,B,A,C,D,D,D,A,B,C,C,C,C,A,A,B,A,D,C,D,A,C
5787453,C,A,C,C,B,A,B,D,D,C,D,B,B,C,A,A,A,B,A,B,C,B,B,A,A,C
19773698,C,A,C,C,C,B,B,C,B,C,D,B,A,C,A,C,A,A,D,A,D,D,C,A,A,C
5335820,B,A,A,D,B,B,B,C,C,C,C,C,A,B,A,B,C,A,C,A,A,D,C,C,A,C
4209480,C,A,C,C,A,D,B,D,D,C,D,C,C,D,A,B,A,B,B,D,C,B,A,B,A,C
19719741,B,A,C,C,A,B,C,B,D,B,D,C,C,D,B,B,B,B,B,C,B,B,C,B,A,C
19721313,C,A,C,C,A,D,B,D,D,C,D,B,B,D,A,A,A,B,C,A,C,B,A,A,A,C
3634856,A,A,D,A,B,A,B,B,A,D,D,C,C,A,A,B,C,B,A,A,B,A,A,B,A,C
3265696,B,B,A,C,D,B,B,D,B,A,D,D,B,B,A,A,B,B,D,A,C,A,A,B,B,C
6536305,B,C,C,C,C,D,B,B,B,A,A,C,B,C,C,C,C,A,C,A,A,C,B,D,B,C
5534305,D,C,B,B,A,B,B,B,A,C,C,B,C,C,B,B,C,A,D,A,B,C,D,B,B,C
20056664,B,B,C,C,D,C,D,D,D,B,B,A,B,A,C,D,D,A,A,A,B,C,D,B,C,C
19752842,C,C,B,C,B,A,C,C,C,B,C,A,C,C,B,B,C,A,B,D,A,D,C,A,C,C
20146860,C,B,C,C,D,C,A,D,B,C,B,C,B,B,C,C,A,B,C,A,A,D,A,A,D,C
19842912,C,A,C,C,A,C,C,C,D,C,D,D,C,C,A,A,D,A,C,C,C,D,D,C,D,C
20133271,B,A,B,C,A,C,B,D,D,C,D,B,B,D,A,A,B,B,B,D,C,B,A,D,D,C
10267167,C,A,C,C,A,D,B,D,B,C,D,B,B,D,A,B,A,B,B,D,C,B,A,D,D,C
6177432,C,A,C,C,A,D,B,D,B,C,B,C,B,D,A,A,A,B,B,D,C,B,A,A,D,C
19807008,B,B,A,C,C,B,A,B,D,C,A,C,A,B,A,A,C,B,C,A,A,D,C,D,D,C
20089967,C,A,C,B,D,B,D,D,B,C,D,B,B,B,C,C,A,B,A,C,C,B,A,A,D,C
6954506,A,A,A,C,A,D,D,A,C,A,A,A,B,C,A,A,D,B,C,A,C,D,C,D,D,C
3383809,B,A,D,D,A,A,B,B,B,D,D,A,B,C,D,B,A,A,A,C,B,B,A,A,D,C
19941669,A,A,B,B,A,B,C,A,D,A,A,A,B,C,A,C,D,A,A,C,B,B,B,A,D,C
3481846,C,D,D,D,D,D,D,C,D,C,B,D,A,C,A,C,C,B,C,B,C,C,D,D,D,C
5533946,B,D,A,A,C,C,D,B,A,C,B,D,D,D,C,D,D,C,B,C,C,D,C,B,A,D
4658634,B,A,C,A,D,A,D,D,D,A,A,A,A,A,B,D,B,D,B,C,A,C,A,A,A,D
19912269,C,D,B,C,A,B,B,B,B,C,B,C,A,C,B,A,A,C,A,A,C,C,B,D,A,D
5449946,D,A,A,A,B,A,A,C,A,A,B,A,A,A,B,D,D,C,A,A,D,D,C,A,B,D
6261928,D,A,B,C,B,A,B,C,D,B,C,B,A,C,B,D,C,A,A,D,C,D,C,C,C,D
3037749,A,D,B,B,A,C,D,A,D,C,A,C,A,C,A,D,A,B,A,D,C,D,C,D,D,D
4659798,A,D,C,D,C,C,B,A,B,B,B,A,A,A,A,B,B,B,A,D,A,D,B,C,D,D
3875512,C,A,B,A,A,C,B,D,D,A,D,B,D,C,A,D,B,B,A,B,A,B,A,A,D,D
19745582,C,D,D,B,B,B,D,A,D,B,B,C,A,D,A,C,C,B,B,C,B,B,D,C,A,A
19991998,C,A,C,C,A,D,B,D,A,C,D,B,A,D,A,A,A,B,A,B,C,A,A,A,A,A
5068161,A,A,B,A,B,A,A,D,B,B,A,A,A,A,A,D,D,B,A,B,B,A,A,C,A,A
19904322,A,B,B,C,A,C,D,D,B,A,B,B,C,A,A,A,A,B,B,A,C,C,C,A,A,A
19987687,B,D,B,C,C,C,B,C,D,C,B,C,B,A,C,B,C,C,B,A,B,C,A,C,B,A
6049832,A,C,B,D,B,C,C,B,B,B,C,A,A,C,C,B,A,A,B,D,C,D,B,C,B,A
3162362,C,A,D,C,B,C,B,D,B,C,B,A,A,C,A,C,B,C,D,A,B,A,A,A,D,A
4438435,B,B,B,C,A,B,D,B,C,C,C,A,B,C,A,A,B,B,D,D,A,C,D,B,D,A
2893960,C,B,D,C,B,C,B,D,C,C,B,B,B,D,A,B,A,B,A,B,B,B,C,D,D,A
3040222,B,A,B,C,B,B,C,A,C,A,D,B,A,A,B,B,D,B,A,A,A,D,A,A,D,A
3131957,B,A,A,D,B,D,D,B,D,A,D,A,B,C,C,D,C,B,C,D,C,D,C,A,D,A
19921099,D,A,D,D,A,D,B,D,D,D,B,A,C,D,A,A,D,C,A,C,B,B,C,D,D,A
6412675,B,A,B,C,C,C,D,D,C,C,B,C,C,B,A,A,B,B,D,A,B,C,C,D,A,B
19751426,B,C,C,D,C,C,D,A,C,A,B,C,B,C,C,D,C,A,C,A,B,C,D,C,A,B
5061330,D,A,D,C,C,A,A,D,B,B,D,B,B,D,A,A,A,B,B,A,C,B,A,A,A,B
6299876,A,B,B,B,A,C,A,B,B,A,A,B,B,B,A,B,A,A,B,C,A,D,B,B,A,B
19722016,B,B,B,A,B,B,D,B,B,D,C,B,B,C,C,B,A,B,A,C,B,B,B,A,B,B
5335922,B,B,A,C,D,B,B,B,B,C,C,A,B,B,A,C,C,C,D,A,B,B,C,B,B,B
7322817,C,B,C,B,B,C,B,B,C,C,B,D,B,D,B,B,B,A,B,C,B,B,B,B,B,B
4660148,A,A,A,C,D,D,C,C,D,B,D,A,D,D,B,D,B,C,D,C,D,A,C,C,C,B
5062061,D,C,B,A,A,A,B,A,A,B,B,A,A,C,A,A,C,D,B,B,B,C,D,D,C,B
3009133,C,C,C,B,B,B,D,C,C,C,A,D,A,C,C,B,C,A,A,A,D,D,B,D,D,B
5583760,C,C,A,D,D,D,A,A,A,A,B,A,A,D,A,A,D,B,A,A,D,C,D,A,D,B
20084617,C,A,B,C,A,D,D,D,B,C,D,B,B,D,A,A,C,B,C,B,C,B,A,A,D,B
2047927,B,B,A,B,B,C,B,B,C,B,A,A,B,B,A,B,C,A,D,C,A,A,D,B,D,B
19742380,C,C,D,C,B,B,B,D,D,C,A,B,B,D,A,B,A,B,A,D,B,D,D,C,D,B
19944634,C,B,B,C,B,C,C,B,C,C,D,A,C,B,A,C,D,A,C,D,C,D,C,D,D,B
19856618,A,B,A,D,B,D,D,B,D,B,B,A,A,C,C,A,B,B,A,C,A,C,B,D,A,C
4213849,C,A,B,C,A,D,A,B,D,C,D,D,A,B,A,A,A,A,D,D,B,B,A,A,A,C
5059970,C,A,C,C,A,B,A,B,B,D,D,A,A,B,D,B,D,A,D,A,B,A,C,C,A,C
5533966,C,A,C,C,D,B,B,D,B,C,D,B,A,B,A,A,A,B,B,D,B,A,A,A,A,C
5785966,C,D,C,C,B,C,B,D,C,C,B,B,A,C,A,A,A,B,D,A,A,B,A,A,A,C
19883869,A,A,A,B,B,C,C,C,B,A,B,D,B,B,D,B,C,B,D,A,B,C,A,C,A,C
20084390,A,A,A,C,A,A,B,A,C,B,B,A,A,B,A,B,D,A,A,D,A,D,A,A,A,C
5584061,B,D,B,D,C,C,B,B,D,A,B,B,B,B,C,B,A,B,B,A,D,B,B,B,A,C
5583890,A,A,A,C,C,B,C,B,B,A,C,B,C,B,C,A,B,C,A,D,A,A,C,C,A,C
4602184,A,C,C,C,B,A,B,D,C,A,B,B,B,B,B,C,A,B,A,A,D,C,C,D,A,C
20229584,D,C,A,C,C,A,A,A,C,C,C,D,D,A,B,A,C,D,D,A,B,B,D,B,A,C
