NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25,G2-MAT26,G2-MAT27,G2-MAT28,G2-MAT29,G2-MAT30,MATEMÃ_x0081_TICA Y DATOS,contar
20216915,D,D,A,B,C,B,A,A,B,C,C,A,C,B,A,A,B,D,A,B,A,A,C,C,A,C,C,A,B,C,24,30
10205347,D,D,A,B,C,C,A,A,B,C,C,A,B,C,A,A,B,D,A,B,A,B,C,C,A,C,D,A,B,C,28,30
20229842,B,D,A,B,C,A,A,A,B,C,C,A,B,C,A,A,B,C,A,B,A,B,C,C,A,B,C,C,C,D,23,30
20045536,A,B,A,A,B,B,D,A,B,B,A,C,C,A,C,B,B,B,A,C,A,A,A,A,B,A,B,A,B,A,9,30
20230522,B,A,A,A,A,A,A,C,A,A,A,D,A,B,A,A,C,D,A,B,C,A,B,B,A,C,B,A,D,A,10,30
20316458,C,D,B,B,D,A,D,A,B,A,D,D,D,A,A,A,B,C,A,D,A,B,A,A,A,B,B,D,A,A,12,30
19854621,B,C,A,B,C,C,B,C,C,A,C,D,B,A,B,A,C,D,A,C,B,B,B,D,B,C,A,B,D,C,10,30
20184446,B,B,C,A,B,B,D,B,A,A,C,D,C,A,D,D,C,A,A,C,D,A,A,B,B,D,D,C,C,A,3,30
19844491,D,A,A,B,C,A,D,C,A,C,C,A,B,B,A,A,B,D,A,B,A,B,C,C,A,A,A,D,A,D,19,30
20134866,D,D,A,D,D,D,A,A,D,D,D,D,D,A,A,D,D,D,A,C,C,A,D,A,B,B,D,B,D,D,8,30
20020722,A,B,A,B,A,A,A,A,B,B,B,A,B,A,A,D,C,B,A,B,A,A,B,A,D,C,A,A,A,C,16,30
20003623,B,C,C,B,B,C,A,A,B,D,C,D,B,C,A,A,C,D,A,C,C,C,C,D,C,A,B,A,D,B,12,30
20169379,A,D,A,A,A,A,A,A,B,A,A,D,B,B,A,B,A,C,A,C,A,A,A,C,A,B,B,A,B,A,14,30
20404912,A,C,D,B,C,C,B,B,B,C,C,C,D,B,A,B,B,C,B,D,D,B,A,D,D,A,C,D,C,B,8,30
20059184,B,A,A,B,A,B,C,B,A,A,A,C,B,C,A,A,B,B,A,B,A,A,A,B,B,B,B,D,D,B,11,30
20117327,C,D,D,B,A,A,A,A,B,B,A,A,B,A,B,A,B,B,A,C,A,B,C,A,B,B,A,B,B,B,16,30
19888482,D,B,A,A,A,C,D,D,A,A,D,D,A,A,A,B,D,A,A,B,D,A,C,C,A,A,A,A,D,A,9,30
19775168,A,A,A,B,C,A,B,A,B,C,C,D,B,C,B,A,B,D,A,B,A,A,B,B,A,A,B,B,B,A,17,30
20004023,D,D,C,A,A,A,B,C,A,B,C,B,C,A,D,C,A,A,A,B,C,C,C,C,B,C,A,A,C,C,11,30
20004036,A,D,A,B,A,A,A,A,B,C,C,D,A,A,A,A,D,B,A,C,A,D,D,A,A,C,D,C,D,D,17,30
20175281,B,D,D,C,D,A,D,A,A,A,C,A,B,C,A,A,B,C,C,B,A,B,D,C,A,C,D,A,B,C,20,30
20177851,B,C,A,A,C,B,C,C,B,A,C,A,B,B,B,A,B,C,A,B,B,A,B,B,B,C,B,B,C,D,11,30
20179060,C,D,B,C,D,D,C,B,D,A,D,A,C,D,B,A,B,C,A,B,D,A,C,C,D,A,B,D,C,D,8,30
19981217,D,B,B,B,A,B,C,C,C,B,B,A,B,B,D,D,B,B,A,D,D,A,B,B,B,D,B,A,B,C,10,30
19864494,A,D,D,D,A,A,A,A,C,B,C,D,B,C,C,D,B,C,B,C,D,A,D,A,B,B,A,D,A,A,8,30
20021107,A,D,B,D,D,A,A,A,A,A,C,D,D,A,B,A,C,C,A,A,A,A,A,A,B,B,D,C,D,A,9,30
19846867,C,B,D,C,C,B,B,A,B,B,B,C,B,B,C,B,D,B,D,C,A,B,A,B,B,B,C,A,B,C,10,30
7092878,C,B,B,B,A,C,C,C,B,A,C,C,B,A,D,B,B,A,D,D,C,B,C,D,C,C,A,B,B,D,9,30
20116557,D,D,A,B,C,A,A,A,B,C,C,A,B,C,A,A,B,C,A,B,A,B,C,C,C,C,A,B,A,C,25,30
19889234,C,A,A,B,A,B,D,D,B,C,C,A,A,A,A,B,C,A,B,D,C,B,B,D,B,A,B,B,B,C,10,30
20032248,B,A,A,C,A,B,C,B,B,B,A,C,B,B,B,A,C,B,C,A,A,A,B,C,A,B,B,B,B,C,10,30
19836124,B,A,A,B,A,A,A,A,A,A,C,A,A,A,A,A,A,A,B,C,B,B,A,C,A,A,A,A,D,D,13,30
20393794,B,A,A,B,B,A,B,A,D,A,B,A,B,B,B,A,A,B,A,A,A,A,A,B,A,A,A,B,D,A,11,30
10179328,B,B,A,C,A,A,C,B,C,A,C,B,A,A,B,D,C,A,A,A,B,A,C,A,D,B,B,B,C,A,5,30
20225405,D,C,A,B,A,A,C,A,A,A,C,A,B,D,A,A,B,C,A,D,B,B,B,B,A,D,A,B,A,B,14,30
20176894,D,D,A,D,C,A,B,C,C,B,A,C,A,B,A,A,A,A,A,D,B,D,A,A,C,D,A,A,D,D,9,30
19981036,B,B,C,A,A,C,D,C,B,C,C,C,C,A,B,A,B,B,A,B,B,B,C,B,A,B,A,C,B,C,13,30
20221304,C,C,A,C,A,C,B,A,D,B,A,D,C,A,B,A,B,D,A,C,C,A,D,A,B,B,A,D,D,C,6,30
7362851,B,B,A,B,B,A,D,A,B,A,D,D,B,A,B,A,C,D,A,B,A,B,C,A,A,A,C,A,B,D,15,30
20209112,D,C,A,A,C,B,D,A,A,A,C,B,B,A,B,A,B,A,A,A,C,B,C,D,D,D,A,C,D,C,12,30
7362560,A,B,A,B,A,A,A,B,C,C,B,B,B,B,A,B,C,C,A,A,B,A,C,C,C,B,A,A,D,D,11,30
20206697,D,D,A,B,A,A,A,B,B,D,D,A,B,A,A,B,D,D,A,B,A,B,C,C,A,C,D,B,C,C,20,30
20209868,D,A,D,B,A,A,D,A,B,A,A,D,B,A,A,A,C,A,A,A,A,B,A,D,A,A,C,C,A,D,12,30
19893900,D,D,A,B,C,A,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,C,A,C,D,A,B,C,30,30
10269857,A,D,A,A,D,A,B,C,D,C,C,D,B,B,B,A,A,B,A,B,B,C,D,B,D,C,D,D,B,A,13,30
10269906,D,D,A,B,C,A,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,C,A,C,D,A,B,C,30,30
20209827,D,D,A,C,B,A,B,A,B,D,C,A,B,B,B,C,B,D,A,B,B,B,C,C,A,C,B,A,A,C,19,30
7092721,D,A,D,C,C,A,A,A,A,C,C,A,A,C,A,A,B,A,A,D,A,B,B,C,B,C,A,A,B,A,19,30
10269715,A,C,A,B,C,A,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,A,A,A,B,C,D,B,22,30
20141747,A,C,A,A,A,A,A,B,D,A,A,D,A,A,B,A,A,B,B,B,B,B,A,B,B,A,A,A,A,A,8,30
20245256,B,D,A,B,C,A,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,C,A,C,C,D,B,B,26,30
7092659,D,B,A,B,C,C,A,A,B,C,C,A,B,D,A,A,B,B,A,B,C,B,C,B,B,B,A,A,D,C,21,30
20060013,C,D,A,C,C,B,A,A,B,C,B,A,C,C,D,B,B,C,D,A,C,B,A,A,B,B,C,D,D,C,12,30
20270762,B,B,A,B,C,A,A,A,B,C,C,A,B,B,C,A,B,C,A,A,B,B,B,A,A,B,C,A,C,B,17,30
7163566,A,D,C,B,C,D,A,A,B,C,C,D,C,C,D,A,B,A,A,C,B,A,C,B,A,C,D,A,B,D,18,30
20132109,D,A,D,A,A,D,C,B,A,A,C,A,A,A,D,D,A,C,D,D,D,A,B,D,C,A,A,D,A,B,3,30
20246199,C,B,D,B,A,A,D,C,C,A,B,D,A,A,B,D,C,B,A,C,B,A,A,D,B,A,A,C,D,C,5,30
20330168,D,D,D,D,B,D,D,A,C,B,A,B,D,C,A,A,C,B,A,D,C,A,A,B,C,B,B,C,D,C,9,30
20183855,B,B,C,A,B,C,D,D,D,A,C,C,B,C,A,A,A,B,A,C,D,B,B,C,D,D,B,A,C,B,10,30
20216703,D,C,A,C,A,D,D,C,A,C,C,D,A,A,B,A,B,C,B,B,B,A,D,C,D,C,A,C,C,C,10,30
19864638,B,C,C,B,B,D,B,B,B,B,C,A,C,C,C,B,C,C,A,C,A,B,A,A,B,B,C,C,C,A,8,30
20276405,B,B,C,C,A,D,B,B,A,B,B,B,C,A,A,B,A,A,A,C,B,A,A,B,D,B,B,A,B,B,4,30
10973293,D,B,D,A,D,A,B,C,D,C,C,B,C,A,A,B,C,A,A,B,B,B,B,B,A,B,C,C,C,D,9,30
20059214,D,D,C,B,B,B,C,B,A,A,A,A,A,A,C,A,A,B,A,C,B,B,A,C,A,D,A,D,B,C,12,30
20191111,B,C,A,B,B,A,C,C,B,A,A,B,A,B,C,A,B,B,A,C,B,B,A,C,A,C,B,C,C,C,13,30
20049329,C,A,B,C,D,C,B,B,B,A,C,A,B,B,C,B,C,C,D,C,B,D,C,C,B,D,B,B,C,D,6,30
20315431,A,D,A,B,A,A,B,A,B,B,B,A,A,B,C,A,B,B,A,B,B,A,B,C,C,B,A,A,A,B,14,30
20052237,A,B,A,B,A,B,B,A,A,A,A,D,B,C,B,A,B,A,B,A,B,A,B,A,B,D,D,A,B,B,10,30
20176941,D,B,A,B,C,B,A,B,C,B,B,B,B,B,B,C,B,C,A,B,B,A,C,C,B,B,C,B,B,B,12,30
19801442,B,C,D,B,A,A,D,D,A,B,A,A,A,A,D,D,A,B,A,D,B,C,A,A,A,A,A,A,A,A,7,30
20203019,D,A,B,C,A,B,D,C,B,C,D,B,A,B,A,A,A,D,D,C,B,C,D,B,D,B,C,B,B,D,6,30
19894179,D,C,A,B,B,A,C,A,B,A,B,B,D,C,A,A,B,C,A,A,B,B,C,A,B,B,D,D,A,D,14,30
19987392,B,B,D,B,C,D,B,D,C,B,B,B,C,C,C,C,B,B,C,B,B,C,C,D,A,C,B,C,B,C,11,30
19888934,C,D,D,B,B,A,B,C,C,C,B,D,A,B,B,A,B,D,D,C,B,D,B,D,B,D,B,D,C,D,6,30
6298426,B,A,B,A,A,A,A,B,A,A,A,A,B,A,A,D,C,A,A,A,B,D,A,B,A,B,A,B,B,B,8,30
19883262,C,C,C,A,B,B,C,B,C,D,B,B,A,B,C,B,A,C,B,C,A,D,C,C,B,C,C,B,D,B,4,30
3009451,C,D,A,B,C,D,A,C,A,A,B,C,B,A,A,B,C,A,B,C,D,B,D,B,B,D,C,A,D,B,9,30
5531899,A,D,B,A,D,C,A,B,C,A,D,D,D,C,C,D,A,D,D,C,B,A,A,C,D,A,B,C,A,D,4,30
20035360,A,C,A,C,B,B,C,C,B,A,C,A,B,B,C,C,B,A,C,D,C,B,B,B,B,C,B,A,B,B,10,30
20025349,D,C,B,A,D,C,C,C,D,A,D,A,D,A,C,D,A,B,D,A,A,B,B,C,D,B,D,B,D,B,7,30
7295286,D,C,B,C,D,B,D,C,D,D,C,D,A,C,D,B,D,D,D,C,B,B,B,B,D,B,B,C,D,B,4,30
20249667,D,D,A,A,A,D,A,A,C,B,C,A,C,A,C,A,C,C,B,C,D,B,D,C,B,C,A,B,C,A,11,30
20296197,B,C,A,B,B,B,A,A,B,C,C,D,A,C,A,A,B,B,A,A,A,B,C,C,A,B,D,D,D,B,19,30
20299993,D,D,A,B,C,C,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,C,A,C,D,A,B,C,29,30
19797230,D,D,A,B,C,C,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,C,A,C,D,A,B,C,29,30
20297005,D,D,A,B,C,C,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,B,A,C,D,A,B,C,28,30
20297006,D,D,A,B,C,B,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,C,A,A,D,A,B,C,28,30
20180172,B,A,B,A,C,D,A,C,D,A,C,A,C,D,C,B,C,B,A,A,A,A,B,D,C,A,B,D,D,C,8,30
10982409,A,D,A,C,B,B,B,A,C,B,C,A,C,C,A,D,C,C,D,B,B,A,D,B,C,D,C,A,A,B,9,30
19856455,C,D,D,D,B,D,D,A,D,C,C,D,B,A,B,C,D,A,A,C,D,A,A,C,C,A,D,A,A,C,10,30
19864246,D,D,C,A,A,B,B,A,D,A,C,B,D,C,B,D,C,A,B,A,A,B,D,B,B,B,A,A,B,A,9,30
20130323,A,D,A,B,C,B,A,A,D,B,C,C,C,A,C,A,C,B,A,A,B,C,C,B,B,B,B,D,D,A,11,30
20246904,A,D,A,D,A,A,D,D,B,B,D,D,A,A,A,D,C,C,A,D,A,C,B,A,A,B,B,C,C,C,9,30
20246918,B,D,B,C,D,B,A,C,A,A,B,A,B,A,B,B,A,A,A,B,A,A,A,A,B,D,A,C,C,D,7,30
20246921,B,D,B,C,D,A,A,B,A,A,C,A,C,A,B,A,A,C,A,B,C,B,C,B,A,B,C,B,D,C,12,30
5334830,D,D,B,D,D,A,A,A,A,A,B,A,B,A,B,A,A,B,A,C,A,A,A,B,C,A,D,A,D,C,14,30
20409067,A,D,A,C,B,C,D,B,A,A,D,D,B,A,A,A,B,B,A,C,B,B,B,C,B,B,A,A,D,A,11,30
10199240,A,B,C,D,B,A,D,D,D,A,D,A,B,D,D,B,A,A,A,A,D,B,A,A,D,A,C,A,C,D,6,30
10263113,C,D,D,A,D,C,B,D,A,C,D,D,B,A,C,D,C,A,C,C,B,C,B,A,D,D,B,D,D,C,4,30
19843379,C,D,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,C,A,D,B,B,A,B,A,B,D,D,A,C,12,30
19831649,D,D,C,A,B,A,D,A,C,A,C,D,D,B,B,D,C,D,A,C,B,B,A,C,B,C,A,D,A,C,10,30
19928092,B,C,B,B,A,A,A,A,B,B,B,B,A,B,B,A,C,C,A,B,C,B,C,A,C,C,A,B,A,C,12,30
19920525,D,D,A,D,A,C,A,B,C,D,D,C,B,A,B,D,B,C,A,D,C,C,C,C,D,A,D,C,B,B,11,30
19963749,D,B,C,A,C,C,A,A,A,C,C,D,D,B,B,B,A,D,A,B,A,B,C,C,A,A,B,C,A,D,13,30
20058721,A,D,A,B,A,A,A,A,B,A,A,A,B,B,D,A,A,B,D,A,B,B,A,D,B,A,A,D,B,A,13,30
20026252,A,B,B,C,C,D,D,C,B,D,A,B,B,B,D,B,A,C,C,B,A,B,B,B,B,C,A,D,C,B,7,30
20005862,D,D,B,A,A,A,D,A,B,C,B,C,B,A,B,D,A,B,A,C,A,B,A,B,B,B,A,A,A,B,12,30
20070009,D,D,A,B,B,C,C,C,C,A,C,A,B,A,B,A,B,B,A,B,C,C,B,C,A,C,A,D,B,A,16,30
19836695,D,D,C,C,B,C,B,B,B,C,C,B,B,C,C,B,B,C,C,A,C,B,C,C,B,B,B,D,C,B,11,30
19836342,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,C,A,B,B,A,A,A,A,B,B,B,12,30
19831980,C,C,C,B,A,A,A,A,C,D,C,D,B,B,C,B,C,B,A,D,A,B,D,D,A,B,B,A,B,C,14,30
19879620,A,A,B,C,A,D,A,A,B,C,D,B,C,C,A,D,C,C,C,C,D,B,B,D,B,D,A,B,D,B,7,30
19919011,D,D,B,B,B,D,A,B,B,C,D,A,B,C,D,C,B,D,A,B,A,C,C,C,D,B,C,B,D,D,15,30
20127210,D,D,A,A,A,A,D,A,D,B,C,D,B,A,C,B,A,A,B,B,A,A,C,C,B,C,A,A,B,B,14,30
20228845,D,A,B,B,C,D,B,A,B,A,B,B,B,C,A,C,B,C,D,A,A,A,B,A,A,D,B,A,B,B,13,30
6302765,B,A,A,B,C,C,B,B,B,B,B,B,D,C,B,C,B,B,B,B,D,B,B,B,A,A,C,B,D,C,11,30
19834449,D,D,A,D,D,C,C,A,D,A,D,D,C,B,D,A,A,D,A,C,B,B,D,D,B,D,D,B,D,D,8,30
20036851,C,D,A,B,B,A,D,B,B,B,C,A,B,B,C,A,B,B,B,B,A,B,A,B,C,A,A,D,B,A,15,30
19889401,A,D,C,D,A,C,A,B,D,B,B,D,B,A,C,B,C,B,A,A,D,B,B,C,B,C,A,C,D,C,9,30
19854547,B,D,C,B,A,B,A,B,C,C,D,D,B,B,A,A,C,C,A,A,C,A,C,A,C,A,A,C,C,C,10,30
