NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18
10369392,B,C,C,A,B,A,C,A,A,C,A,A,B,B,A,B,B,C
10337808,B,C,C,B,A,B,C,C,B,C,A,C,B,B,C,C,B,C
10451757,C,A,A,B,A,A,B,C,A,C,B,A,A,A,B,A,B,A
10227969,B,A,C,A,C,C,A,A,B,C,A,B,B,C,A,A,C,C
10369428,B,C,A,C,C,A,B,A,C,A,B,B,A,C,B,C,C,C
10369490,B,C,A,B,B,B,B,C,B,C,A,A,B,A,B,B,C,A
10369503,B,B,A,A,B,B,A,B,A,B,C,A,B,B,B,A,B,C
10369517,B,A,C,C,B,A,A,B,C,B,A,C,C,C,A,A,A,C
10002837,B,A,A,B,A,C,C,A,B,A,B,A,B,A,B,C,B,B
10175185,B,B,C,C,B,B,C,B,A,C,B,A,B,A,A,C,B,A
10634114,B,A,B,C,B,B,B,B,A,A,B,C,C,C,B,C,A,A
10795876,B,C,C,A,B,B,A,A,A,A,B,A,A,A,B,C,C,A
10820613,C,B,B,C,A,A,C,A,B,C,A,A,B,B,A,A,A,C
10389117,B,A,C,B,C,B,C,A,B,C,B,A,B,B,A,A,A,A
10820601,A,A,B,C,B,B,B,B,C,B,B,A,B,B,B,B,B,C
10820567,B,A,C,B,B,B,B,C,B,B,A,A,B,A,A,A,A,B
10383774,B,B,C,C,A,B,C,A,C,C,A,A,B,A,A,C,B,A
10398017,A,B,A,C,B,C,B,C,A,A,A,A,B,C,B,A,B,A
10015143,B,B,C,C,B,B,C,A,B,C,A,C,B,A,A,C,B,A
10104952,B,B,A,C,B,B,C,A,A,C,C,B,B,B,A,C,B,C
10008699,B,B,C,C,A,C,C,A,B,C,A,C,B,A,A,B,B,C
10496787,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
10428607,C,A,B,B,C,C,B,C,C,B,A,B,B,B,A,A,B,B
10234662,B,B,C,C,C,C,C,A,B,C,A,C,B,A,A,C,B,A
10386946,C,B,B,B,A,C,A,B,B,B,A,C,A,B,B,B,C,C
10386357,B,A,C,C,A,C,C,A,B,C,A,A,C,B,A,C,A,A
10187782,B,C,C,A,A,B,C,B,A,C,A,A,C,B,A,B,B,B
20171607,B,C,C,C,B,B,C,A,B,C,A,C,B,A,A,C,B,A
10499610,B,B,C,C,A,B,C,A,C,A,B,C,C,C,A,C,B,A
10324021,B,B,C,C,A,B,C,A,B,B,A,A,C,B,A,B,A,B
10776983,B,B,C,C,A,B,C,A,A,C,A,A,B,A,A,C,A,A
10512120,B,B,C,C,A,B,C,A,B,C,A,A,C,B,A,A,B,A
10508374,B,B,C,C,A,B,C,A,B,C,B,C,B,A,A,C,B,C
10592171,B,B,C,C,A,A,C,A,B,C,A,C,B,B,A,C,B,A
10341962,B,A,B,A,B,A,C,A,C,C,A,C,B,B,C,C,B,A
20311970,B,B,C,C,A,A,C,A,A,C,C,A,C,A,C,A,C,B
10345354,B,B,C,C,A,B,C,A,B,C,C,A,B,B,A,C,B,A
10532687,B,C,C,C,A,B,C,C,B,B,A,A,B,A,A,A,B,A
10621984,B,B,C,B,B,B,B,A,A,C,B,A,A,B,C,B,B,B
10496825,B,B,C,C,A,B,C,A,C,C,A,C,B,B,A,C,B,A
20362381,C,B,C,A,A,B,C,C,C,C,A,C,B,A,A,A,A,A
10760883,C,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A
10598904,A,A,B,A,C,A,B,B,A,C,B,A,C,A,B,B,A,A
10599148,B,B,B,C,B,A,C,A,A,B,A,A,B,A,A,C,B,C
10521966,A,B,A,A,C,C,A,C,A,C,B,A,A,A,A,C,B,B
10470791,A,A,B,B,A,B,A,B,A,C,C,A,C,B,A,C,A,A
10729213,B,A,A,A,A,A,B,C,B,A,A,A,B,A,B,B,B,A
10359931,B,B,C,A,A,B,C,A,B,C,A,C,B,C,A,C,A,A
10491272,A,C,C,B,C,C,C,B,C,B,C,A,B,A,A,A,B,C
10524183,B,B,C,C,A,B,C,A,B,B,B,C,B,A,B,A,B,B
10523568,B,B,C,C,A,A,C,A,B,B,A,C,B,A,A,C,B,A
10302904,B,A,C,C,C,C,C,A,C,C,B,A,C,C,C,C,C,B
10491284,B,B,C,C,A,B,C,C,A,C,A,A,A,A,A,A,B,B
10231155,B,B,B,C,A,C,B,A,A,C,C,B,C,A,B,C,A,B
10807160,B,B,C,C,A,A,C,A,B,C,A,C,C,A,A,A,A,A
10336783,B,C,C,B,A,A,C,A,C,C,A,B,B,C,A,C,B,A
10336700,B,B,C,C,A,C,C,C,A,C,A,A,C,A,A,C,A,A
10376629,B,B,C,A,A,A,A,A,A,B,B,A,C,A,A,A,A,A
10359935,B,B,C,A,A,A,C,A,C,B,A,A,B,B,A,C,B,A
10342415,B,C,C,A,A,B,A,A,B,C,B,C,B,A,A,C,C,A
10549685,B,C,C,C,A,C,C,C,C,B,B,A,A,B,C,C,A,B
10810406,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,C,B,A
10810401,B,B,C,C,A,A,C,A,B,A,A,A,B,B,A,A,A,C
10336693,B,A,C,C,A,A,C,C,B,A,A,C,B,A,A,C,B,A
10807115,B,A,B,A,C,C,B,C,A,B,C,A,B,A,A,C,C,B
10231373,B,B,C,C,A,A,C,A,C,C,B,A,B,B,A,C,C,A
10312331,B,B,B,A,A,A,C,B,B,B,B,B,A,B,B,B,A,B
10834083,B,B,C,C,A,B,C,A,C,B,B,B,B,C,A,C,A,B
10666016,B,C,C,C,B,B,C,C,B,A,B,C,B,C,A,A,B,A
10359943,B,B,C,C,A,B,C,B,B,C,C,A,C,C,A,B,A,B
10810404,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,A,B,A
10806633,B,B,B,C,A,B,B,B,B,B,B,B,B,A,B,C,B,B
10364029,A,B,B,B,A,B,B,B,B,B,B,B,A,A,C,B,B,C
10807133,C,B,A,C,B,B,C,A,A,A,B,B,A,B,B,B,A,B
10499293,C,B,B,A,C,B,B,B,B,C,A,A,A,B,B,A,B,B
10189700,B,B,C,B,A,C,C,A,B,C,A,B,B,A,A,A,B,A
10363998,B,C,A,A,B,A,B,C,A,B,A,A,A,B,A,A,C,A
10663625,B,B,C,C,B,A,B,B,C,B,B,B,C,A,A,B,A,A
10665945,B,B,C,C,A,A,C,B,A,B,C,A,A,A,A,C,A,A
10312484,B,A,A,A,C,B,C,C,C,B,C,B,A,C,C,B,A,A
10359945,B,C,B,C,A,A,C,A,A,A,A,A,C,A,A,C,A,A
10685285,C,B,C,B,C,A,A,C,A,A,A,B,A,A,B,A,B,A
10818025,C,B,B,C,C,B,C,A,B,B,A,C,B,A,B,A,A,B
10794750,B,B,C,C,A,B,C,A,A,B,A,A,B,A,A,A,B,A
10792745,B,B,B,C,A,B,C,A,C,B,B,C,B,A,A,C,B,A
10792723,B,B,C,C,A,B,C,A,B,C,A,C,B,B,B,A,B,C
10526520,B,B,A,C,A,A,A,B,A,B,A,B,B,B,B,B,A,A
10383580,B,B,C,C,B,B,C,A,B,A,A,C,C,A,B,C,A,B
10383489,B,A,A,A,A,B,A,A,B,B,B,C,C,A,C,A,B,B
10526502,B,B,C,C,B,B,C,B,A,B,B,C,B,B,A,C,B,A
10496799,B,B,C,C,A,A,C,A,B,B,B,A,B,A,A,C,A,B
10526526,B,B,C,C,B,A,C,C,B,B,B,A,B,A,C,C,B,A
10167454,B,C,A,B,A,A,C,A,B,C,A,B,B,A,A,A,B,A
10383643,B,B,C,C,A,B,C,A,B,C,A,A,B,A,A,C,B,A
10526538,B,A,C,A,A,A,A,A,C,B,B,B,A,B,C,B,A,A
10383997,A,B,A,A,C,A,C,A,C,C,A,B,B,C,B,A,B,B
10595953,B,C,C,C,A,B,C,A,B,C,B,C,B,A,A,C,B,A
20175445,B,B,C,C,A,B,C,A,B,A,B,A,B,A,A,A,B,A
10770572,B,C,C,C,B,B,C,A,B,C,A,C,B,A,A,C,B,C
10507172,B,B,B,B,A,A,C,A,B,B,A,B,A,C,B,B,A,B
10305712,B,A,A,C,B,C,B,A,A,B,B,C,A,B,A,A,C,C
10417553,B,B,C,A,C,B,C,C,A,B,A,A,B,A,A,B,B,B
10305749,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,B,B,A
10309836,B,B,B,C,A,A,C,A,C,C,A,A,B,B,A,C,B,A
10359951,B,A,A,A,A,C,A,B,A,B,A,A,C,A,A,C,A,B
10682341,B,A,A,B,B,A,A,C,C,A,A,A,A,A,B,B,A,A
10540117,A,B,A,C,C,B,C,B,A,A,B,A,C,C,B,A,B,A
10309217,C,B,B,B,A,B,C,C,B,C,B,C,B,A,A,C,B,C
10312106,B,B,A,B,C,B,A,C,B,C,B,A,C,C,A,A,A,A
10312138,B,B,C,C,A,B,C,C,C,B,A,C,B,A,A,C,B,A
10527935,B,B,B,C,B,B,A,A,B,B,B,B,B,B,A,A,B,B
10527948,A,A,B,A,C,B,A,B,B,C,B,B,B,A,B,A,B,A
10527918,C,B,C,C,B,B,B,A,A,C,B,B,B,A,C,B,B,A
10528031,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B
10104518,B,B,C,C,B,B,C,A,A,B,A,A,C,A,C,C,A,B
10299503,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,B,B,A
10484667,B,B,B,C,A,B,C,A,B,C,A,C,B,C,A,C,B,A
10408637,B,B,C,C,A,C,C,A,B,C,A,C,B,A,A,C,B,A
10393149,B,B,C,C,B,C,C,A,B,C,A,C,B,B,A,C,B,A
10797738,B,B,C,C,A,C,C,A,B,C,A,C,B,B,A,C,B,A
10496808,B,B,B,C,B,A,B,B,B,C,C,B,A,B,B,B,B,B
10512275,B,B,C,A,A,A,B,A,C,A,A,C,A,B,B,C,B,C
10728257,C,A,A,A,B,B,C,A,C,B,A,B,C,B,B,C,C,A
10406937,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,A,B,A
10657430,B,B,B,B,B,B,B,B,C,A,C,B,C,C,C,B,A,A
10406960,A,B,C,C,B,B,C,A,B,C,A,C,B,A,C,A,B,A
10402412,B,B,C,C,A,C,C,A,C,C,C,C,B,B,C,C,B,C
10401252,A,B,C,C,B,B,C,A,A,C,A,C,B,B,A,A,B,A
10301360,B,B,C,C,B,C,C,A,B,C,B,C,B,A,A,A,B,A
10601570,A,B,C,A,A,C,B,A,A,B,B,C,B,C,C,C,B,B
10500148,B,B,C,A,B,A,C,A,C,C,A,C,B,B,A,A,B,A
10682782,B,C,C,A,A,B,C,C,B,B,A,A,B,B,A,C,B,A
10391370,B,B,C,C,A,B,C,A,B,B,A,C,B,A,A,B,B,A
10383775,B,B,C,C,A,B,C,A,C,C,A,A,C,B,A,A,C,A
10464449,B,C,C,C,C,A,C,C,C,B,B,B,C,C,A,A,A,A
10391355,B,C,C,A,A,B,C,C,B,B,A,A,B,B,A,C,B,A
10462350,B,B,C,C,B,A,C,A,C,B,A,B,C,A,A,B,A,A
10753374,B,B,C,C,A,A,C,A,B,C,B,C,B,B,A,C,B,C
10524789,A,B,A,B,A,B,B,A,A,B,A,B,B,B,A,B,A,B
20380451,B,B,C,B,B,C,B,B,B,B,B,B,A,B,B,A,B,A
10626794,C,B,B,B,A,C,C,C,C,C,C,C,C,C,C,C,C,C
10303621,C,B,A,A,B,A,C,B,B,B,B,A,B,C,A,C,B,B
10089014,B,B,C,B,A,B,C,B,A,B,A,C,A,A,B,A,B,A
10611576,A,A,B,A,B,B,A,B,B,B,C,C,B,A,B,A,A,A
10497576,B,B,A,A,A,A,C,A,C,B,B,C,B,A,C,A,A,A
10478461,A,A,B,A,B,C,A,A,A,A,B,B,A,B,A,A,A,A
10390246,B,B,C,C,A,B,C,A,B,B,A,C,B,B,A,C,B,A
10625384,B,B,C,C,A,A,C,A,B,C,B,C,C,B,A,C,A,A
10220829,B,C,C,A,A,A,A,C,C,C,C,C,C,A,A,C,A,B
10756441,B,B,C,C,A,A,C,C,A,B,A,C,B,A,A,C,B,A
10668527,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10424575,B,B,C,C,A,C,C,C,C,C,A,C,B,A,A,C,B,A
10460729,B,B,C,C,B,B,C,A,C,C,A,C,B,A,A,A,B,B
10220804,B,A,C,B,A,A,C,A,B,A,A,C,B,B,A,C,B,A
10688631,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,C,B,A
10099554,B,B,C,B,A,C,C,C,A,C,A,B,B,B,A,C,B,B
20203199,C,B,B,C,B,C,C,A,A,B,B,B,B,A,A,A,A,A
10500136,B,B,C,A,A,B,C,A,C,C,C,C,B,B,A,A,B,B
10688633,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10513373,B,B,C,C,B,B,C,A,B,C,A,B,B,B,A,C,B,A
10634052,B,A,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10409296,B,A,C,A,B,B,B,A,B,B,A,C,C,A,A,A,A,A
10409304,B,A,C,A,A,B,C,A,A,C,B,B,C,A,B,A,C,A
10850075,B,C,A,B,A,A,A,C,C,C,C,A,A,B,B,B,A,B
10460990,B,B,B,C,A,A,A,A,C,A,B,A,C,B,A,C,C,C
11071536,B,B,C,C,A,B,C,A,B,C,A,B,B,B,A,C,B,A
10500112,B,B,B,A,A,B,C,A,B,C,A,A,B,B,A,C,B,B
10204809,B,B,B,A,B,B,B,A,B,B,B,B,B,A,B,B,B,B
10472793,A,B,B,B,B,A,C,A,A,A,C,A,B,B,A,C,B,A
10332874,B,C,A,C,B,A,C,A,C,B,B,A,B,B,A,C,B,C
10176836,B,B,C,A,B,B,C,A,C,C,A,B,B,A,B,B,C,B
10177511,B,B,A,A,B,A,A,C,A,A,A,A,B,A,B,A,B,C
10693077,B,B,C,C,B,B,C,A,C,C,B,A,B,B,A,C,B,C
10176839,C,B,C,C,B,A,C,A,A,A,A,B,C,C,B,B,A,C
10622271,C,B,C,C,A,B,C,A,B,C,A,A,B,A,A,C,A,A
10682114,C,C,C,B,B,A,A,A,B,C,A,B,A,A,A,A,A,A
10492539,B,B,C,C,A,B,C,C,B,C,A,A,B,A,A,C,B,A
10321003,C,A,C,C,A,B,B,A,C,C,B,A,C,A,A,A,A,A
10499763,B,B,C,C,A,B,C,A,B,C,A,A,B,A,A,C,B,A
10481872,C,B,A,B,A,B,A,B,B,A,A,B,C,A,A,B,B,A
10505691,A,B,A,C,A,A,B,A,A,A,B,A,A,A,A,B,B,A
10395967,B,C,C,A,A,A,C,C,A,B,A,A,B,C,A,C,B,A
10501614,C,A,C,B,A,A,B,A,B,B,A,C,C,C,B,C,B,A
10357795,B,B,C,C,A,B,C,A,B,C,B,C,B,B,A,C,B,A
10322579,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10279010,B,B,A,A,A,B,A,C,C,C,A,B,B,B,A,C,C,A
10325809,B,C,C,A,A,C,B,B,B,C,A,C,C,A,C,C,B,A
10603955,B,B,C,C,A,B,C,A,B,B,A,C,B,B,A,C,B,B
10325741,B,B,C,C,A,B,C,A,B,C,B,C,A,B,A,A,A,C
10493273,B,B,C,C,A,C,B,A,B,C,B,C,A,A,B,A,A,A
10622354,B,B,C,C,A,B,C,A,B,B,A,A,B,B,B,C,B,A
10352080,B,B,C,C,B,B,C,A,B,C,A,C,B,A,A,C,B,A
10486804,B,B,C,C,A,A,C,A,B,C,A,C,B,A,A,A,B,A
10677770,B,B,A,C,A,A,A,A,A,C,B,C,B,A,B,C,A,C
10344336,B,B,C,C,A,A,B,A,A,C,B,A,C,B,A,A,A,C
10682931,B,C,C,C,A,A,C,A,C,C,A,A,B,A,A,A,B,A
10323087,B,C,C,C,A,A,C,A,A,C,A,C,B,B,A,A,C,A
10618772,B,B,C,C,B,B,C,A,C,C,A,A,B,A,C,C,B,A
10681413,B,B,C,C,A,B,C,A,A,B,A,A,B,A,A,C,B,A
10479735,B,A,C,C,A,A,C,A,B,C,A,C,B,C,A,C,B,A
10421460,B,B,C,C,A,B,B,C,B,C,A,A,C,A,A,C,A,B
10797967,B,B,C,A,A,B,C,C,B,B,B,A,B,A,B,A,B,B
10415930,B,A,C,B,A,A,C,A,A,C,A,A,B,A,A,B,B,A
10402970,C,B,B,A,A,A,C,A,B,B,A,B,C,A,A,B,A,B
10681417,B,C,C,B,A,B,C,A,C,C,A,A,B,A,A,B,B,A
10421458,B,B,C,C,A,B,C,A,B,A,A,C,B,A,A,C,B,A
10402958,B,A,C,A,C,A,C,A,A,B,A,C,B,B,A,B,B,A
10402943,B,B,B,A,B,B,B,B,A,B,A,B,A,B,C,B,A,A
10402951,B,C,A,B,B,B,A,C,A,B,B,B,A,A,C,C,B,B
10533564,C,C,C,A,A,C,A,A,B,B,B,C,C,A,C,B,B,A
10421461,A,B,C,A,B,A,A,C,A,C,B,B,A,A,C,C,C,B
10500171,B,B,C,C,A,B,B,A,C,B,B,C,C,A,A,C,A,A
10207357,B,B,C,C,B,B,C,B,B,C,B,B,B,A,A,A,B,B
10728286,B,C,A,C,A,A,C,B,B,C,A,C,B,B,A,C,B,A
10810124,B,C,A,B,C,C,C,B,B,B,C,C,C,A,C,C,C,B
10507767,C,B,B,A,C,A,C,A,B,A,A,A,C,B,B,C,A,C
10507755,B,C,B,A,A,B,C,A,A,C,A,A,B,B,A,A,C,A
10756001,B,C,B,A,A,A,B,C,A,C,A,A,B,A,B,C,C,C
10320864,B,B,C,A,C,B,C,A,C,A,B,B,C,C,B,A,A,B
10644120,A,B,C,A,B,A,C,A,B,B,B,B,B,A,C,B,A,C
10801240,B,C,C,C,A,B,C,A,A,C,B,A,B,B,A,C,B,A
10514210,B,B,C,C,A,B,C,A,B,C,B,A,B,A,A,C,B,A
10341311,B,B,C,C,C,B,C,A,B,C,A,A,C,B,A,C,A,C
10398588,C,B,A,C,B,A,B,A,A,B,B,A,C,C,C,B,A,C
10349385,B,B,B,C,A,A,A,C,A,C,B,A,C,B,C,A,A,C
10664883,B,B,C,C,A,B,C,A,B,C,A,A,B,A,A,C,A,C
10666719,B,A,C,A,C,B,C,A,C,A,C,B,C,B,B,A,C,B
10637315,C,A,B,B,A,B,C,A,A,A,B,B,C,B,B,C,A,B
10657837,B,B,A,C,C,C,A,C,C,C,B,A,C,A,C,B,A,B
10008264,B,B,C,B,B,C,C,C,B,B,A,C,B,B,A,C,B,C
10500164,C,C,C,B,C,B,C,A,B,B,B,C,B,C,B,C,A,C
10525104,C,C,C,C,A,B,C,A,C,C,C,A,B,A,A,C,B,C
10398558,B,B,C,B,A,B,C,C,B,C,A,A,C,A,A,C,B,A
10744227,B,C,C,C,A,A,C,C,B,C,A,C,B,A,A,C,B,C
10498549,C,C,C,C,C,B,B,A,B,C,A,A,B,B,C,C,C,B
10398618,C,B,A,C,B,C,C,A,A,C,B,C,A,C,A,C,B,C
10744271,B,C,C,B,C,B,A,B,B,B,A,B,C,B,C,C,C,C
10744318,B,C,C,C,A,A,C,A,B,C,A,A,B,B,A,C,B,A
10637369,B,C,B,B,C,A,A,A,C,A,C,B,A,B,B,C,C,A
10465963,B,B,C,C,C,B,B,A,A,C,A,A,B,B,A,C,B,A
10377670,B,C,C,C,B,B,C,A,C,C,A,C,B,B,A,C,B,A
10310132,B,A,B,C,C,A,C,C,C,C,A,C,B,B,A,C,B,A
10625476,B,B,C,C,A,B,A,A,B,B,B,B,C,A,A,A,C,A
10536279,B,B,C,C,B,B,C,A,B,C,A,C,B,B,A,C,B,A
10607838,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10417179,B,C,C,C,A,C,B,A,B,C,C,C,B,A,A,A,B,A
10133146,A,B,B,A,A,C,A,B,A,A,A,A,C,A,B,C,B,A
10489131,B,B,C,C,A,A,C,A,B,C,A,C,B,B,A,C,B,A
10132932,C,A,C,B,C,B,C,A,A,B,C,C,B,B,A,C,B,A
10590988,B,B,C,C,A,B,C,B,B,A,C,A,C,A,A,A,B,C
10522740,B,B,B,C,B,A,C,A,A,C,A,A,B,B,A,A,B,A
10156576,B,B,C,C,B,B,C,A,B,C,B,C,B,B,A,A,B,A
10422845,B,C,C,B,C,B,C,A,B,A,B,B,A,B,A,C,C,A
10520152,B,C,C,C,A,B,C,B,B,B,B,C,B,A,A,C,B,C
10375049,C,C,B,B,B,C,A,C,B,B,B,A,B,C,A,A,B,C
10363525,B,B,C,C,A,B,C,A,B,C,A,C,A,B,A,C,B,A
10167505,B,C,C,C,A,B,C,A,B,C,A,C,A,B,B,B,B,A
10967992,B,B,C,C,A,A,C,A,B,C,A,C,B,A,A,C,B,A
10363832,B,B,C,C,B,B,C,A,B,A,A,C,A,B,A,C,B,A
10522760,B,B,C,C,A,B,C,C,C,B,A,C,B,B,A,B,B,A
10731429,B,B,C,C,A,A,C,A,A,A,A,C,B,B,A,A,B,A
20368564,B,B,C,C,A,A,B,A,C,B,C,A,B,B,B,B,C,B
10426868,B,B,C,C,A,B,C,A,B,A,A,C,A,B,A,C,C,B
10616108,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10167551,B,B,C,A,B,C,A,A,C,B,B,A,B,C,A,C,B,C
10828621,B,B,C,C,A,B,C,A,B,C,A,A,B,B,A,C,B,A
10452802,B,C,B,A,C,B,C,A,C,C,B,A,C,A,B,B,B,A
10590983,B,B,C,C,A,B,C,A,C,C,A,A,B,B,A,C,B,A
10672313,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10510374,B,C,B,B,C,A,A,B,C,C,B,A,A,B,B,A,C,B
10727403,B,A,B,C,B,A,A,A,B,C,B,A,A,A,B,B,B,C
10590992,B,B,C,C,B,C,C,A,B,C,A,C,B,A,A,A,B,A
10522752,B,B,B,C,B,C,C,B,C,A,C,A,A,C,A,B,B,B
10727470,B,B,C,C,A,A,C,A,B,C,C,C,B,B,A,A,B,A
10727320,B,A,B,B,B,C,C,B,C,A,A,C,C,B,A,A,A,B
10393361,B,B,C,A,B,C,C,A,B,C,A,C,C,B,B,A,B,A
10495363,C,A,B,B,B,B,C,A,A,C,B,A,C,A,B,C,A,A
10363967,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10677883,B,B,C,C,A,C,C,C,B,C,A,C,B,B,A,C,B,A
10727521,B,B,B,B,A,B,C,A,A,B,C,C,A,C,B,B,A,B
10364025,B,C,C,C,A,C,C,A,B,B,A,A,B,A,A,A,B,A
10650978,B,B,B,B,A,C,C,A,A,C,B,A,C,A,A,B,A,C
10731696,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,C,B,A
20329876,B,C,C,C,B,A,C,A,B,C,A,C,B,A,B,A,B,A
10364047,B,B,C,C,A,B,C,A,A,C,A,A,B,B,A,C,B,A
10364072,B,C,C,C,B,B,C,A,C,B,A,A,B,B,A,A,B,A
10731830,B,C,A,B,A,B,C,A,A,A,A,C,B,A,A,B,A,A
10684450,B,A,C,B,B,A,C,C,A,A,C,A,A,B,A,B,C,A
10356521,B,B,C,C,A,B,C,A,B,B,A,A,B,B,A,C,B,A
10381987,B,A,C,A,B,B,C,A,A,C,A,A,C,A,C,A,A,B
10405918,B,B,C,C,A,B,C,A,B,B,A,C,B,B,A,C,B,C
10167507,B,B,C,C,A,B,C,A,C,C,A,A,A,C,A,C,A,A
10416391,B,C,B,C,C,A,C,B,B,B,B,A,A,B,B,B,A,B
10686228,B,B,A,C,A,A,C,C,A,B,A,B,A,A,A,B,B,B
10523385,B,C,A,C,B,B,C,A,C,B,C,C,C,A,B,A,A,B
10416345,B,B,C,C,A,B,B,C,C,B,A,A,C,B,A,B,C,A
10508197,B,B,C,C,A,B,C,A,B,C,A,A,B,B,A,C,B,A
10505637,B,C,C,C,A,A,C,A,B,C,A,C,B,A,A,C,B,A
10510385,B,B,C,C,A,C,C,A,B,A,A,C,B,A,A,A,B,A
10452871,B,C,C,C,A,A,C,C,A,C,A,C,B,B,B,C,C,A
10491979,B,B,C,C,A,B,C,A,A,C,A,A,B,A,A,B,B,C
10538096,B,B,C,C,A,A,C,A,B,C,C,C,B,A,A,C,B,C
10538298,B,B,C,C,A,A,C,A,B,C,A,C,B,A,A,C,B,A
10440289,B,A,C,C,B,B,C,A,B,C,A,C,C,A,B,B,B,B
10812507,B,B,C,C,A,B,C,A,B,C,C,C,B,A,A,C,B,A
10489109,B,B,C,C,A,B,C,A,A,C,A,A,B,B,A,C,B,A
10578385,B,B,C,C,A,B,C,A,B,C,B,C,B,B,A,A,B,A
10529161,B,B,C,C,C,B,C,A,B,C,B,C,B,B,B,A,B,A
10371574,B,B,B,C,C,C,C,A,B,C,B,C,B,B,A,A,B,A
10371579,B,B,C,C,C,B,C,A,B,C,B,C,B,B,A,A,A,A
10371586,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,A,B,A
